0.0 -0.5047242414068862 -0.5047242414068862 -0.6183957414754154 -0.6183957414754154
1.0 -1.110648087944027 -0.9078688152514878 -0.9399221593495871 -0.9399221593495871
2.0 -3.6368017033730196 -1.150597363962361 -1.7767790961933916 -2.5729030242354445
3.0 -7.7772783132989245 -1.4070428117179468 -2.5690439528926277 -4.626746571891651
4.0 -15.954589770191001 -1.6493005415814428 -4.6230321492312925 -6.6964929087385725
5.0 -Infinity -1.8972280342962022 -7.380439008011303 -8.766382279332516
6.0 -Infinity -2.141262666352927 -12.204930738096103 -10.836272124921281
7.0 -Infinity -2.3872807355635035 NaN -12.906147966640598
8.0 -Infinity -2.632099799169013 NaN -1.777398310297503
9.0 -Infinity -2.87757701198429 NaN -Infinity
10.0 -Infinity -3.1226725189785443 NaN -Infinity
11.0 -Infinity -3.367982598425071 NaN -Infinity
12.0 -Infinity -3.6131698951913456 NaN -Infinity
13.0 -Infinity -3.858426744852987 NaN -Infinity
14.0 -Infinity -4.103643967862535 NaN -Infinity
15.0 -Infinity -4.348883693947146 NaN -Infinity
16.0 -Infinity -4.594110617307324 NaN -Infinity
17.0 -Infinity -4.839344816868788 NaN -Infinity
18.0 -Infinity -5.084574878646176 NaN -Infinity
19.0 -Infinity -5.3298072926692415 NaN -Infinity
20.0 -Infinity -5.575038369234704 NaN -Infinity
21.0 -Infinity -5.820270206205838 NaN -Infinity
22.0 -Infinity -6.065501610881397 NaN -Infinity
23.0 -Infinity -6.310733261308125 NaN -Infinity
24.0 -Infinity -6.555964771983932 NaN -Infinity
25.0 -Infinity -6.8011963622120994 NaN -Infinity
26.0 -Infinity -7.046427907253709 NaN -Infinity
27.0 -Infinity -7.291659478540948 NaN -Infinity
28.0 -Infinity -7.536891034377276 NaN -Infinity
29.0 -Infinity -7.782122597653848 NaN -Infinity
30.0 -Infinity -8.027354156880374 NaN -Infinity
31.0 -Infinity -8.272585713438172 NaN -Infinity
32.0 -Infinity -8.517817264397815 NaN -Infinity
33.0 -Infinity -8.763048831983479 NaN -Infinity
34.0 -Infinity -9.00828044302435 NaN -Infinity
35.0 -Infinity -9.253512046081788 NaN -Infinity
36.0 -Infinity -9.498743531015634 NaN -Infinity
37.0 -Infinity -9.743975131998427 NaN -Infinity
38.0 -Infinity -9.989206954849326 NaN -Infinity
39.0 -Infinity -10.234438739139675 NaN -Infinity
40.0 -Infinity -10.479670169119036 NaN -Infinity
41.0 -Infinity -10.724900250372269 NaN -Infinity
42.0 -Infinity -10.97012996900869 NaN -Infinity
43.0 -Infinity -11.215357716814415 NaN -Infinity
44.0 -Infinity -11.460588319814882 NaN -Infinity
45.0 -Infinity -11.705832047563705 NaN -Infinity
46.0 -Infinity -11.951086155448465 NaN -Infinity
47.0 -Infinity -12.196359361733252 NaN -Infinity
48.0 -Infinity -12.441638690218513 NaN -Infinity
49.0 -Infinity -12.686948787845086 NaN -Infinity
50.0 -Infinity -12.932161399005516 NaN -Infinity
51.0 -Infinity -13.17716294780169 NaN -Infinity
52.0 -Infinity -13.423110853148748 NaN -Infinity
53.0 -Infinity -13.671288541487453 NaN -Infinity
54.0 -Infinity -13.917163272250377 NaN -Infinity
55.0 -Infinity -14.15524922073742 NaN -Infinity
56.0 -Infinity -14.398287269423715 NaN -Infinity
57.0 -Infinity -14.65355977452702 NaN -Infinity
58.0 -Infinity -14.913197085032776 NaN -Infinity
59.0 -Infinity -15.176438519807359 NaN -Infinity
60.0 -Infinity -15.35252977886304 NaN -Infinity
61.0 -Infinity -15.47746851547134 NaN -Infinity
62.0 -Infinity -15.65355977452702 NaN -Infinity
63.0 -Infinity -15.954589770191001 NaN -Infinity
